"id","pokemon_ability_id","effect","language","short_effect"
200,101,"Attacken von Pokémon mit dieser Fähigkeit die eine Stärke von 60 oder weniger haben werden um 50% verstärkt.

Das schließt Attacken mit variabler Stärke, wie hidden power oder magnitude, mit ein, wenn ihre Stärke 60 oder weniger ist. Der Stärke Bonus von helping hand wird miteinberechnet, genauso wie der von defense curl für rollout.",de,Versärkt Attacken mit einer Basisstärke von 60 oder weniger um 50%.
207,101,"This Pokémon's moves have 1.5× their power if their base power is 60 or less.

This includes moves of variable power, such as hidden power and magnitude, when their power is 60 or less.  helping hand's power boost is taken into account for any move, as is defense curl's power boost for rollout.",en,Strengthens moves of 60 base power or less to 1.5× their power.
204,102,"Pokémon mit dieser Fähigkeit können während starkem Sonnenlicht keine major status ailments erleiden.

Die Fähigkeit heilt keine major status ailments. rest schlägt fehl während die Fähigkeit aktiv ist. yawn schlägt sofort fehl wenn es während starkem Sonnenlicht gegen ein Pokémon mit dieser Fähigkeit benutzt wird und ein bereits eingesetzter yawn schlägt fehl, wenn sich das weather zu starkem Sonnenlicht ändert.",de,Schützt vor major status ailments während starkem Sonnenlicht.
209,102,"This Pokémon cannot be given a major status ailment during strong sunlight.

This ability does not heal prior status ailments.  rest will fail altogether with this ability in effect.  yawn will immediately fail if used on this Pokémon during strong sunlight, and an already-used Yawn will fail if the weather turns to strong sunlight in the meantime.",en,Protects against major status ailments during strong sunlight.
212,103,"Pokémon mit dieser Fähigkeit können im Kampf keine getragenen Items benutzen und diese haben auch keine passiven Effekte im Kampf, egal ob positiv oder negativ. Das Pokémon kann fling nicht einsetzen.

Der speed Malus einer iron ball und die EV Items (macho brace, power weight, power bracer, power belt, power lens, power band und power anklet) sind nicht betroffen. Items die den Kampf nicht direkt beeinflussen, wie der exp share, das amulet coin oder die soothe bell, funktionieren normal. Alle getragenen Items funktionieren normal außerhalb von Kämpfen.

Andere Attacken die getragene Items verwenden, wie z.B. natural gift und switcheroo, funktionieren ebenfalls normal.",de,"Verhindert, dass das Pokémon ein getragenes Item im Kampf einsetzt."
205,103,"In battle, this Pokémon cannot use its held item, nor will the item have any passive effect on the battle, positive or negative.  This Pokémon also cannot use fling.

The Speed cut from the iron ball and the effort items (the macho brace, power weight, power bracer, power belt, power lens, power band, and power anklet) is unaffected.  Items that do not directly affect the battle, such as the exp share, the amulet coin, or the soothe bell, work as usual.  All held items work as usual out of battle.

Other moves that use the held item, such as natural gift and switcheroo, work as usual.",en,Prevents the Pokémon from using its held item in battle.
206,104,"Die Attacken von Pokémon mit dieser Fähigkeit ignorieren Fähigkeiten, die die Attacke am Funktionieren hindern oder ihre Effekte beeinflussen.

Beispiel: Die Attacken ignorieren Fähigkeiten die sie komplett verhindern würden, wie water absorb, Fähigkeiten die einen der Effekte verhindern würden, wie z.B. clear body, shell armor oder sticky hold und Fähigkeiten die einen generellen schützenden Vorteil brächten, wie simple, snow cloak oder thick fat. Wenn eine Fähigkeit die Attacke behindern oder ihr helfen würde, wie dry skin oder unaware, wird sie ebenfalls ignoriert.

Fähigkeiten die dieser Beschreibung nicht entsprechen, selbst wenn sie eine Attacke behindern könnten, werden nicht verhindert. Zum Beispiel beeinflusst cursed body nur mögliche zukünftige Anwendungen der Attacke, während liquid ooze und shadow tag nur den Effekt der Attacke auf den Anwender verhindern. Die Attacke kann keine Typ- oder Form-Änderungen verhindern die durch Fähigkeiten ausgelöst werden, zum Beispiel color change oder forecast, genauso wie Effekte die von Fähigkeiten verursacht wurden aber nicht mehr an die Fähigkeit gebunden sind, so wie der rain von drizzle. Die Fähigkeit kann multitype nicht verhindern.

Eine Fähigkeit die von dieser Fähigkeit ignoriert wird, wird nur überbrückt, während die Attacke eingesetzt wird. Beispiel: Die Attacken von Pokémon mit dieser Fähigkeit können ein Pokémon mit limber paralysieren aber limber wird sich aktivieren und die Paralyse direkt danach heilen. Außerdem werden die Stacheln dieses Pokémons nicht von dieser Fähigkeit beeinflusst, nachdem sie platziert wurden.

Wenn ein Pokémon mit dieser Fähigkeit den Kampf betritt, werden alle Trainer über diese Fähigkeit benachrichtigt.

Die Fähigkeit ist identisch mit teravolt und turboblaze.",de,"Umgeht die gegnerische Fähigkeit, wenn sie eine Attacke verhindern kann."
213,104,"This Pokémon's moves completely ignore abilities that could hinder or prevent their effect on the target.

For example, this Pokémon's moves ignore abilities that would fully negate them, such as water absorb; abilities that would prevent any of their effects, such as clear body, shell armor, or sticky hold; and abilities that grant any general protective benefit, such as simple, snow cloak, or thick fat.  If an ability could either hinder or help this Pokémon's moves, e.g. dry skin or unaware, the ability is ignored either way.

Abilities that do not fit this description, even if they could hinder moves in some other way, are not affected.  For example, cursed body only affects potential future uses of the move, while liquid ooze and shadow tag can only hinder a move's effect on the user.  This ablity cannot ignore type or form changes granted by abilities, for example color change or forecast; nor effects that were caused by abilities but are no longer tied to an ability, such as the rain from drizzle.  This ability cannot ignore multitype at all.

An ability ignored by this ability is only nullified while the move is being used.  For example, this Pokémon's moves can paralyze a Pokémon with limber, but Limber will activate and heal the paralysis immediately thereafter, and this Pokémon's spikes are not affected by this ability after they have been placed.

When this Pokémon enters battle, all participating trainers are notified that it has this ability.

This ability functions identically to teravolt and turboblaze.",en,Bypasses targets' abilities if they could hinder or prevent a move.
208,105,Die kritische Trefferrate von Attacken von Pokémon mit dieser Fähigkeit sind eine Stufe höher als normal.,de,Erhöht die kritische Trefferrate um 1 Stufe.
217,105,This Pokémon's moves have critical hit rates one stage higher than normal.,en,Raises moves' critical hit rates one stage.
